Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Care Management Group Limited,928,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Care Management Group Limited,3183.6,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Valeplus (Cymru) & Valeplus Extra,877.28,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260140,Midway Transitional Solutions Limited,2100,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,18-Jun-18,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,2100,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,18-Jun-18,359457,Vale of Glamorgan Broadcasting (CIC) t/a Bro Radio,1500,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,18-Jun-18,365784,Cycle Training Wales Limited,3500,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,18-Jun-18,365786,Easyway Minicoach Hire Limited,7029.36,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407215,Corona Energy Retail 4 Limited,965.27,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407240,Corona Energy Retail 4 Limited,628.16,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407245,Corona Energy Retail 4 Limited,572.18,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407260,Corona Energy Retail 4 Limited,706.53,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,420217,G4s Cash Solutions (UK) Limited,889.26,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,421230,Phoenix Software Limited,338000,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,422100,Corona Energy Retail 4 Limited,1112.13,Revenue,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18-Jun-18,842146,Curtins Consulting Limited,1800,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18-Jun-18,842177,JR & AG Diack Limited,1240,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18-Jun-18,842181,Integral Geotechnique (Wales) Limited,930,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,18-Jun-18,842181,Integral Geotechnique (Wales) Limited,850,Capital,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101047,Carmarthenshire County Council,12127,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,St Cyres Comprehensive School,1574.02,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,St Cyres Comprehensive School,3738.74,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,St Cyres Comprehensive School,52083.5,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,St Cyres Comprehensive School,2622,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102652,University of South Wales,725,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,18-Jun-18,403211,Bridgend County Borough Council,2317.08,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,18-Jun-18,403230,Cardiff County Council,1313.54,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,18-Jun-18,130511,Western Power Distribution LLP,576.13,Revenue,Partnerships
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260050,Dr Gerald McCarthy & Associates,501.12,Revenue,Partnerships
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101047,Kevin John Webber,924.12,Revenue,Professional Services
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260160,Einir Ellis Tomos,739.5,Revenue,Professional Services
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260160,Einir Ellis Tomos,1800,Revenue,Professional Services
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,420212,Owain James,1650,Revenue,Professional Services
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,420212,Owain James,2000,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,South Wales Association of Special School Headteachers,800,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260160,Bladon Primary School,1900,Revenue,Public Bodies
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,18-Jun-18,403150,Disclosure and Barring Service,1408,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,100805,New Directions (Education) Limited,655,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101013,New Directions (Education) Limited,725,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,Teaching Personnel Limited,719.2,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,Teaching Personnel Limited,575.36,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,Teaching Personnel Limited,719.2,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,Teaching Personnel Limited,719.2,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101141,Apollo Teaching Services Limited,700,Revenue,recy
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102604,New Directions (Education) Limited,857.47,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,18-Jun-18,103412,Apollo Teaching Services Limited,520,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,18-Jun-18,103412,Apollo Teaching Services Limited,650,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,18-Jun-18,103412,New Directions (Education) Limited,665,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,April Complete Care Solutions Limited,584,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,April Complete Care Solutions Limited,548.1,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,216179,April Complete Care Solutions Limited,605.48,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,216179,April Complete Care Solutions Limited,922.66,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,April Complete Care Solutions Limited,770.38,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407119,Building Recruitment Company Limited,1138.86,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407119,Hays Specialist Recruitment Limited,1270.97,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407119,Hays Specialist Recruitment Limited,1270.96,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,18-Jun-18,407119,Hays Specialist Recruitment Limited,626.51,Revenue,recy
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,209151,Hebron Hall Limited,624,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,6181.32,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,2160,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,4808.08,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,5014.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,3360,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,4008,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217909,Crosshands Care Limited,4514.72,Revenue,Residential Homes
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101047,Nigel Martlew t/a Caring Coaches,850,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101300,Owen Whittendale t/a Owens Tree & Garden Services,770,Revenue,Sole Traders
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,18-Jun-18,422130,Elwyn J Kerslake t/a Woodland Electrical,624.5,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102636,Barry YMCA Hub,648,Revenue,Voluntary Organisations
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,190055,Bethel Cylch Meithrin,1000,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,209165,The National Youth Advocacy Service,91290.81,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215025,Age Concern Cardiff & Vale of Glamorgan t/a Age Connects Cardiff and the Vale,16434,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215025,Age Concern Cardiff & Vale of Glamorgan t/a Age Connects Cardiff and the Vale,6732,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215025,Age Concern Cardiff & Vale of Glamorgan t/a Age Connects Cardiff and the Vale,19352.25,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260090,Barnardos Cymru,28172.06,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260130,The Salvation Army Social Work Trust t/a Northlands Salvation Army,2090.88,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,260130,The Salvation Army Social Work Trust t/a Northlands Salvation Army,15274.8,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,735.53,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,542.5,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,735.56,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,742.62,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,500.38,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,750.68,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,571.55,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,544.18,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,523.6,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,660.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,543.1,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,1090,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Caring Companions Limited,545,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cherish Cymru Limited,3400,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Parkrow Care Limited,600.48,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,216179,Heidi Christoforato t/a Churchfields Home Care,543.59,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,217909,Caring Companions Limited,627.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,218419,Parkrow Care Limited,625.72,Revenue,agen
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,ADT Fire and Security Plc,622.68,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,EDF Energy Plc,656.73,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,Electratest (UK) Limited,586.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,Rentokil Initial UK Limited,3130.3,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,The Learning Partnership (Wales) Limited,1300,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101006,WWS 1987 Limited T/A Welsh Window Systems,625,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101047,Ricoh UK Limited,1772.13,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101063,A & R Contract Cleaning Specialist Limited,2134.43,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101063,Andrell Education Limited,995,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101063,LDL Engineering Site Services Limited,1510,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101095,Rentokil Initial UK Limited,1011.11,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101095,Watts Coaches Limited,1725,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101110,Globebrow Limited t/a Manor Adventure,3108,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101300,Toshiba TEC UK Imaging Systems Limited,1264.47,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101308,Globebrow Limited t/a Manor Adventure,1050,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101315,The Assessment Foundation CIC,1116,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101315,The Learning Partnership (Wales) Limited,801.3,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,102593,Academia Limited,3738.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,19-Jun-18,130030,Edson Print (Services) Limited,1292,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff Homecare Limited,708.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff Homecare Limited,708.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Cardiff Homecare Limited,766.92,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,2332.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,653.01,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,4768,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Pobl Group Limited T/A Reach Supported Living,773.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,217909,Consensus Support Services Limited t/a Ty Machen,2163.85,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,218419,Cardiff Homecare Limited,589.4,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,218419,Cardiff Homecare Limited,590.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,19-Jun-18,319010,Fleetwheel Limited,645,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,19-Jun-18,333003,Dwr Cymru Cyf,690.87,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,19-Jun-18,333510,Ace Site Services (UK) Limited,2600,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,19-Jun-18,341120,Dwr Cymru Cyf,579.96,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,19-Jun-18,356020,The Abbey Cleaning Services Limited,572.01,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,19-Jun-18,421230,Tugbury Electrical Services Limited,985,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,19-Jun-18,422100,Alpine Land Surveyors Limited,3375,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101308,Yorkshire Purchasing Organisation,932.59,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,19-Jun-18,301051,Cardiff County Council,11779,Revenue,Other Local Authorites
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,19-Jun-18,831529,Welsh Government,45057.88,Capital,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,19-Jun-18,101305,TeacherActive Limited,2970,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,19-Jun-18,422160,Anderselite Limited,837.5,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,19-Jun-18,422160,Hays Specialist Recruitment Limited,946.05,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215486,Springbank Care Home Limited T/A Springbank Nursing Home,2544.39,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Baltimore Care Limited,526.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,538.41,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,556.95,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Glamorgan Care Limited t/a Danygraig House,11028,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Glamorgan Care Limited t/a Danygraig House,666,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Lakeside Homes Limited T/A Lakeside House,518.82,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,517.8,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,533.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,MHA Care Group t/a Morel Court,531.09,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,599.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,552.58,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,574.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,590.99,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,572.59,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,576.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,514.35,Revenue,Residential Homes
